,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
195,New York Knicks*,49,33,0.598,7.0,101.3,98.5,2.42,1974
196,Buffalo Braves*,42,40,0.512,14.0,111.6,111.8,-0.19,1974
197,Philadelphia 76ers,25,57,0.305,31.0,101.2,107.5,-5.94,1974
198,Capital Bullets*,47,35,0.573,—,101.9,100.4,1.19,1974
199,Atlanta Hawks,35,47,0.427,12.0,108.6,110.0,-1.47,1974
200,Houston Rockets,32,50,0.39,15.0,107.4,107.6,-0.34,1974
201,Cleveland Cavaliers,29,53,0.354,18.0,100.3,104.6,-4.16,1974
202,Milwaukee Bucks*,59,23,0.72,—,107.1,99.0,7.61,1974
203,Chicago Bulls*,54,28,0.659,5.0,102.0,98.7,3.2,1974
204,Detroit Pistons*,52,30,0.634,7.0,104.4,100.3,4.02,1974
205,Kansas City-Omaha Kings,33,49,0.402,26.0,102.0,105.8,-3.24,1974
206,Los Angeles Lakers*,47,35,0.573,—,109.2,108.3,0.85,1974
207,Golden State Warriors,44,38,0.537,3.0,109.9,107.3,2.42,1974
208,Seattle SuperSonics,36,46,0.439,11.0,107.0,109.5,-2.29,1974
209,Phoenix Suns,30,52,0.366,17.0,107.9,111.5,-3.2,1974
210,Portland Trail Blazers,27,55,0.329,20.0,106.8,111.6,-4.3,1974
211,Boston Celtics*,60,22,0.732,—,106.5,100.8,5.4,1975
212,Buffalo Braves*,49,33,0.598,11.0,107.8,105.6,2.16,1975
213,New York Knicks*,40,42,0.488,20.0,100.4,101.7,-0.92,1975
214,Philadelphia 76ers,34,48,0.415,26.0,99.8,102.8,-2.6,1975
215,Washington Bullets*,60,22,0.732,—,104.7,97.5,6.53,1975
216,Houston Rockets*,41,41,0.5,19.0,103.9,102.9,0.84,1975
217,Cleveland Cavaliers,40,42,0.488,20.0,99.0,99.4,-0.31,1975
218,Atlanta Hawks,31,51,0.378,29.0,105.1,106.5,-1.32,1975
219,New Orleans Jazz,23,59,0.28,37.0,101.5,109.3,-7.3,1975
220,Chicago Bulls*,47,35,0.573,—,98.1,95.0,2.88,1975
221,Kansas City-Omaha Kings*,44,38,0.537,3.0,101.4,101.6,-0.16,1975
222,Detroit Pistons*,40,42,0.488,7.0,98.9,100.3,-1.19,1975
223,Milwaukee Bucks,38,44,0.463,9.0,100.7,100.5,0.25,1975
224,Golden State Warriors*,48,34,0.585,—,108.5,105.2,2.86,1975
225,Seattle SuperSonics*,43,39,0.524,5.0,103.1,104.1,-1.19,1975
226,Portland Trail Blazers,38,44,0.463,10.0,103.8,103.3,0.27,1975
227,Phoenix Suns,32,50,0.39,16.0,101.2,103.6,-2.36,1975
228,Los Angeles Lakers,30,52,0.366,18.0,103.2,107.2,-3.94,1975
229,Boston Celtics*,54,28,0.659,—,106.2,103.9,2.25,1976
230,Philadelphia 76ers*,46,36,0.561,8.0,106.5,106.3,0.33,1976
231,Buffalo Braves*,46,36,0.561,8.0,107.3,106.4,0.85,1976
232,New York Knicks,38,44,0.463,16.0,102.7,103.9,-1.05,1976
233,Cleveland Cavaliers*,49,33,0.598,—,101.7,99.2,2.34,1976
234,Washington Bullets*,48,34,0.585,1.0,102.8,100.4,2.2,1976
235,Houston Rockets,40,42,0.488,9.0,106.2,107.0,-0.71,1976
236,New Orleans Jazz,38,44,0.463,11.0,104.1,105.0,-0.74,1976
237,Atlanta Hawks,29,53,0.354,20.0,102.6,105.5,-2.66,1976
238,Milwaukee Bucks*,38,44,0.463,—,101.8,103.3,-1.55,1976
239,Detroit Pistons*,36,46,0.439,2.0,104.9,106.0,-1.18,1976
240,Kansas City Kings,31,51,0.378,7.0,103.3,106.2,-2.83,1976
241,Chicago Bulls,24,58,0.293,14.0,95.9,98.8,-2.89,1976
242,Golden State Warriors*,59,23,0.72,—,109.8,103.1,6.23,1976
243,Seattle SuperSonics*,43,39,0.524,16.0,106.4,106.7,-0.15,1976
244,Phoenix Suns*,42,40,0.512,17.0,105.1,104.5,0.59,1976
245,Los Angeles Lakers,40,42,0.488,19.0,106.9,106.8,0.18,1976
246,Portland Trail Blazers,37,45,0.451,22.0,104.1,105.3,-1.11,1976
247,Philadelphia 76ers*,50,32,0.61,—,110.2,106.2,3.78,1977
248,Boston Celtics*,44,38,0.537,6.0,104.5,106.5,-1.9,1977
249,New York Knicks,40,42,0.488,10.0,108.6,108.6,0.01,1977
250,Buffalo Braves,30,52,0.366,20.0,105.0,109.5,-4.28,1977
251,New York Nets,22,60,0.268,28.0,95.9,102.7,-6.54,1977
252,Houston Rockets*,49,33,0.598,—,106.4,104.8,1.44,1977
253,Washington Bullets*,48,34,0.585,1.0,105.5,104.5,0.9,1977
254,San Antonio Spurs*,44,38,0.537,5.0,115.0,114.4,0.53,1977
255,Cleveland Cavaliers*,43,39,0.524,6.0,102.1,101.0,1.08,1977
256,New Orleans Jazz,35,47,0.427,14.0,104.6,107.4,-2.68,1977
257,Atlanta Hawks,31,51,0.378,18.0,102.4,106.4,-3.87,1977
258,Denver Nuggets*,50,32,0.61,—,112.6,107.4,4.95,1977
259,Detroit Pistons*,44,38,0.537,6.0,109.4,110.4,-1.0,1977
260,Chicago Bulls*,44,38,0.537,6.0,98.9,98.0,0.92,1977
261,Kansas City Kings,40,42,0.488,10.0,107.7,106.8,0.93,1977
262,Indiana Pacers,36,46,0.439,14.0,106.8,108.6,-1.68,1977
263,Milwaukee Bucks,30,52,0.366,20.0,108.4,111.5,-2.99,1977
264,Los Angeles Lakers*,53,29,0.646,—,106.9,104.1,2.64,1977
265,Portland Trail Blazers*,49,33,0.598,4.0,111.7,106.2,5.39,1977
266,Golden State Warriors*,46,36,0.561,7.0,110.9,107.7,3.1,1977
267,Seattle SuperSonics,40,42,0.488,13.0,104.0,105.5,-1.43,1977
268,Phoenix Suns,34,48,0.415,19.0,104.9,104.2,0.64,1977
269,Philadelphia 76ers*,55,27,0.671,—,114.7,109.6,4.87,1978
270,New York Knicks*,43,39,0.524,12.0,113.4,114.0,-0.53,1978
271,Boston Celtics,32,50,0.39,23.0,105.7,107.7,-1.86,1978
272,Buffalo Braves,27,55,0.329,28.0,105.3,109.0,-3.55,1978
273,New Jersey Nets,24,58,0.293,31.0,106.7,112.5,-5.61,1978
274,San Antonio Spurs*,52,30,0.634,—,114.5,111.1,3.2,1978
275,Washington Bullets*,44,38,0.537,8.0,110.3,109.4,0.82,1978
276,Cleveland Cavaliers*,43,39,0.524,9.0,104.4,103.9,0.44,1978
277,Atlanta Hawks*,41,41,0.5,11.0,103.7,103.9,-0.13,1978
278,New Orleans Jazz,39,43,0.476,13.0,107.6,109.5,-1.8,1978
279,Houston Rockets,28,54,0.341,24.0,103.8,107.8,-3.83,1978
280,Denver Nuggets*,48,34,0.585,—,111.8,110.9,0.8,1978
281,Milwaukee Bucks*,44,38,0.537,4.0,112.4,113.0,-0.59,1978
282,Chicago Bulls,40,42,0.488,8.0,103.9,104.8,-0.79,1978
283,Detroit Pistons,38,44,0.463,10.0,109.0,110.2,-1.22,1978
