,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
1406,Minnesota Timberwolves,36,46,0.439,18.0,112.5,114.0,-1.02,2019
1407,Golden State Warriors*,57,25,0.695,—,117.7,111.2,6.42,2019
1408,Los Angeles Clippers*,48,34,0.585,9.0,115.1,114.3,1.09,2019
1409,Sacramento Kings,39,43,0.476,18.0,114.2,115.3,-0.81,2019
1410,Los Angeles Lakers,37,45,0.451,20.0,111.8,113.5,-1.33,2019
1411,Phoenix Suns,19,63,0.232,38.0,107.5,116.8,-8.61,2019
1412,Houston Rockets*,53,29,0.646,—,113.9,109.1,4.96,2019
1413,San Antonio Spurs*,48,34,0.585,5.0,111.7,110.0,1.8,2019
1414,Memphis Grizzlies,33,49,0.402,20.0,103.5,106.1,-2.08,2019
1415,New Orleans Pelicans,33,49,0.402,20.0,115.4,116.8,-1.1,2019
1416,Dallas Mavericks,33,49,0.402,20.0,108.9,110.1,-0.87,2019
1417,Toronto Raptors*,53,19,0.736,—,112.8,106.5,5.97,2020
1418,Boston Celtics*,48,24,0.667,5.0,113.7,107.3,5.83,2020
1419,Philadelphia 76ers*,43,30,0.589,10.5,110.7,108.4,2.25,2020
1420,Brooklyn Nets*,35,37,0.486,18.0,111.8,112.3,-1.01,2020
1421,New York Knicks,21,45,0.318,29.0,105.8,112.3,-6.72,2020
1422,Milwaukee Bucks*,56,17,0.767,—,118.7,108.6,9.41,2020
1423,Indiana Pacers*,45,28,0.616,11.0,109.4,107.5,1.63,2020
1424,Chicago Bulls,22,43,0.338,30.0,106.8,109.9,-4.0,2020
1425,Detroit Pistons,20,46,0.303,32.5,107.2,110.8,-4.38,2020
1426,Cleveland Cavaliers,19,46,0.292,33.0,106.9,114.8,-7.77,2020
1427,Miami Heat*,44,29,0.603,—,112.0,109.1,2.59,2020
1428,Orlando Magic*,33,40,0.452,11.0,107.3,108.3,-0.93,2020
1429,Charlotte Hornets,23,42,0.354,17.0,102.9,109.6,-7.03,2020
1430,Washington Wizards,25,47,0.347,18.5,114.4,119.1,-5.24,2020
1431,Atlanta Hawks,20,47,0.299,21.0,111.8,119.7,-7.71,2020
1432,Denver Nuggets*,46,27,0.63,—,111.3,109.2,2.35,2020
1433,Oklahoma City Thunder*,44,28,0.611,1.5,110.4,108.4,2.33,2020
1434,Utah Jazz*,44,28,0.611,1.5,111.3,108.8,2.52,2020
1435,Portland Trail Blazers*,35,39,0.473,11.5,115.0,116.1,-0.61,2020
1436,Minnesota Timberwolves,19,45,0.297,22.5,113.3,117.5,-4.02,2020
1437,Los Angeles Lakers*,52,19,0.732,—,113.4,107.6,6.28,2020
1438,Los Angeles Clippers*,49,23,0.681,3.5,116.3,109.9,6.66,2020
1439,Phoenix Suns,34,39,0.466,19.0,113.6,113.4,0.56,2020
1440,Sacramento Kings,31,41,0.431,21.5,110.1,112.1,-1.59,2020
1441,Golden State Warriors,15,50,0.231,34.0,106.3,115.0,-8.12,2020
1442,Houston Rockets*,44,28,0.611,—,117.8,114.8,3.13,2020
1443,Dallas Mavericks*,43,32,0.573,2.5,117.0,112.1,4.87,2020
1444,Memphis Grizzlies,34,39,0.466,10.5,112.6,113.7,-0.91,2020
1445,San Antonio Spurs,32,39,0.451,11.5,114.1,115.2,-0.65,2020
1446,New Orleans Pelicans,30,42,0.417,14.0,115.8,117.1,-0.55,2020
1447,Philadelphia 76ers*,49,23,0.681,—,113.6,108.1,5.28,2021
1448,Brooklyn Nets*,48,24,0.667,1.0,118.6,114.1,4.24,2021
1449,New York Knicks*,41,31,0.569,8.0,107.0,104.7,2.13,2021
1450,Boston Celtics*,36,36,0.5,13.0,112.6,111.2,1.32,2021
1451,Toronto Raptors,27,45,0.375,22.0,111.3,111.7,-0.54,2021
1452,Milwaukee Bucks*,46,26,0.639,—,120.1,114.2,5.57,2021
1453,Indiana Pacers,34,38,0.472,12.0,115.3,115.3,-0.13,2021
1454,Chicago Bulls,31,41,0.431,15.0,110.7,111.6,-0.94,2021
1455,Cleveland Cavaliers,22,50,0.306,24.0,103.8,112.3,-8.19,2021
1456,Detroit Pistons,20,52,0.278,26.0,106.6,111.1,-4.38,2021
1457,Atlanta Hawks*,41,31,0.569,—,113.7,111.4,2.14,2021
1458,Miami Heat*,40,32,0.556,1.0,108.1,108.0,-0.06,2021
1459,Washington Wizards*,34,38,0.472,7.0,116.6,118.5,-1.85,2021
1460,Charlotte Hornets,33,39,0.458,8.0,109.5,111.4,-1.94,2021
1461,Orlando Magic,21,51,0.292,20.0,104.0,113.3,-9.02,2021
1462,Utah Jazz*,52,20,0.722,—,116.4,107.2,8.97,2021
1463,Denver Nuggets*,47,25,0.653,5.0,115.1,110.1,4.82,2021
1464,Portland Trail Blazers*,42,30,0.583,10.0,116.1,114.3,1.81,2021
1465,Minnesota Timberwolves,23,49,0.319,29.0,112.1,117.7,-5.25,2021
1466,Oklahoma City Thunder,22,50,0.306,30.0,105.0,115.6,-10.13,2021
1467,Phoenix Suns*,51,21,0.708,—,115.3,109.5,5.67,2021
1468,Los Angeles Clippers*,47,25,0.653,4.0,114.0,107.8,6.02,2021
1469,Los Angeles Lakers*,42,30,0.583,9.0,109.5,106.8,2.77,2021
1470,Golden State Warriors,39,33,0.542,12.0,113.7,112.7,1.1,2021
1471,Sacramento Kings,31,41,0.431,20.0,113.7,117.4,-3.45,2021
1472,Dallas Mavericks*,42,30,0.583,—,112.4,110.2,2.26,2021
1473,Memphis Grizzlies*,38,34,0.528,4.0,113.3,112.3,1.07,2021
1474,San Antonio Spurs,33,39,0.458,9.0,111.1,112.8,-1.58,2021
1475,New Orleans Pelicans,31,41,0.431,11.0,114.6,114.9,-0.2,2021
1476,Houston Rockets,17,55,0.236,25.0,108.8,116.7,-7.5,2021
1477,Boston Celtics*,51,31,0.622,—,111.8,104.5,7.02,2022
1478,Philadelphia 76ers*,51,31,0.622,—,109.9,107.3,2.57,2022
1479,Toronto Raptors*,48,34,0.585,3.0,109.4,107.1,2.38,2022
1480,Brooklyn Nets*,44,38,0.537,7.0,112.9,112.1,0.82,2022
1481,New York Knicks,37,45,0.451,14.0,106.5,106.6,-0.01,2022
1482,Milwaukee Bucks*,51,31,0.622,—,115.5,112.1,3.22,2022
1483,Chicago Bulls*,46,36,0.561,5.0,111.6,112.0,-0.38,2022
1484,Cleveland Cavaliers,44,38,0.537,7.0,107.8,105.7,2.04,2022
1485,Indiana Pacers,25,57,0.305,26.0,111.5,114.9,-3.26,2022
1486,Detroit Pistons,23,59,0.28,28.0,104.8,112.5,-7.36,2022
1487,Miami Heat*,53,29,0.646,—,110.0,105.6,4.23,2022
1488,Atlanta Hawks*,43,39,0.524,10.0,113.9,112.4,1.55,2022
1489,Charlotte Hornets,43,39,0.524,10.0,115.3,114.9,0.53,2022
1490,Washington Wizards,35,47,0.427,18.0,108.6,112.0,-3.23,2022
1491,Orlando Magic,22,60,0.268,31.0,104.2,112.2,-7.67,2022
1492,Utah Jazz*,49,33,0.598,—,113.6,107.6,5.67,2022
1493,Denver Nuggets*,48,34,0.585,1.0,112.7,110.4,2.16,2022
1494,Minnesota Timberwolves*,46,36,0.561,3.0,115.9,113.3,2.53,2022
1495,Portland Trail Blazers,27,55,0.329,22.0,106.2,115.1,-8.55,2022
1496,Oklahoma City Thunder,24,58,0.293,25.0,103.7,111.8,-7.9,2022
1497,Phoenix Suns*,64,18,0.78,—,114.8,107.3,6.94,2022
1498,Golden State Warriors*,53,29,0.646,11.0,111.0,105.5,5.52,2022
1499,Los Angeles Clippers,42,40,0.512,22.0,108.4,108.4,0.09,2022
1500,Los Angeles Lakers,33,49,0.402,31.0,112.1,115.1,-3.08,2022
1501,Sacramento Kings,30,52,0.366,34.0,110.3,115.8,-5.26,2022
1502,Memphis Grizzlies*,56,26,0.683,—,115.6,109.9,5.37,2022
1503,Dallas Mavericks*,52,30,0.634,4.0,108.0,104.7,3.12,2022
1504,New Orleans Pelicans*,36,46,0.439,20.0,109.3,110.3,-0.84,2022
1505,San Antonio Spurs,34,48,0.415,22.0,113.2,113.0,0.02,2022
1506,Houston Rockets,20,62,0.244,36.0,109.7,118.2,-8.26,2022
